sep=,
"Seguidores do Instagram pelas principais cidades"
"Principais cidades","Valor"
"Santa Maria, RS","70,2%"
"Divinópolis, MG","1,8%"
"Pelotas, RS","1,4%"
"Porto Alegre, RS","1,2%"
"São Paulo, SP","1,1%"
"Curitiba, PR","0,7%"
"Rio de Janeiro, RJ","0,7%"
"Cachoeira do Sul, RS","0,7%"
"Florianópolis, SC","0,5%"
"Viamão, RS","0,5%"
